T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.129958	 	0.871167	 	0.669182	 	 -0.392133	 	0.00502834
0.128658	 	0.713448	 	0.862727	 	 -0.244893	 	0.0124961
0.127372	 	0.749414	 	0.584321	 	 -0.428275	 	0.00254265
0.126098	 	0.790648	 	0.676269	 	 -0.428235	 	0.00307905
0.124837	 	0.880547	 	0.618962	 	 -0.421942	 	0.00297468
0.123589	 	0.876793	 	0.588268	 	 -0.417781	 	0.00329825
0.122353	 	0.742617	 	0.483543	 	 -0.244998	 	0.00714011
0.121129	 	0.752579	 	0.68059	 	 -0.415928	 	0.00346637
0.119918	 	0.736479	 	0.751382	 	 -0.356469	 	0.00758094
0.118719	 	0.675304	 	0.584969	 	 -0.383293	 	0.00296373
0.117532	 	0.755108	 	0.607406	 	 -0.435261	 	0.00230272
0.116356	 	0.850369	 	0.620073	 	 -0.437599	 	0.00356044
0.115193	 	0.858035	 	0.693898	 	 -0.385761	 	0.00620723
0.114041	 	0.890163	 	0.585035	 	 -0.405895	 	0.00332617
0.1129	 	0.439242	 	0.794	 	 -0.245253	 	0.00457683
0.111771	 	0.316972	 	0.930173	 	 -0.248882	 	0.00693439
0.110654	 	0.222155	 	1.27543	 	 0.180194	 	0.0256191
0.109547	 	0.420631	 	0.971846	 	 -0.25201	 	0.00946712
0.108452	 	0.281296	 	1.01792	 	 -0.235255	 	0.00987072
0.107367	 	0.118278	 	0.996828	 	 -0.248627	 	0.00761584
0.106294	 	0.263459	 	1.13275	 	 -0.117266	 	0.0168531
0.105231	 	0.0464886	 	0.911568	 	 -0.2208	 	0.00649481
0.104178	 	0.362174	 	1.0736	 	 -0.181071	 	0.0130936
0.103137	 	0.392065	 	0.903669	 	 -0.258034	 	0.00625119
0.102105	 	0.144255	 	1.12038	 	 -0.180374	 	0.0152571
0.101084	 	0.109698	 	0.951618	 	 -0.239496	 	0.00603966
0.100073	 	0.230813	 	0.955427	 	 -0.253567	 	0.00607428
0.0990725	 	0.0224893	 	0.924141	 	 -0.214783	 	0.0051938
0.0980818	 	0.370934	 	1.12116	 	 -0.11366	 	0.022136
0.097101	 	0.355972	 	1.15953	 	 -0.0323739	 	0.0222819
0.09613	 	0.662603	 	0.73514	 	 -0.356276	 	0.00436892
0.0951687	 	0.736173	 	0.513872	 	 -0.340484	 	0.00589555
0.094217	 	0.5717	 	0.669791	 	 -0.29686	 	0.00383616
0.0932748	 	0.880446	 	0.696644	 	 -0.377002	 	0.00534866
0.0923421	 	0.767738	 	0.565084	 	 -0.419853	 	0.00309923
0.0914186	 	0.634868	 	0.600257	 	 -0.350111	 	0.00343817
0.0905044	 	0.5874	 	0.576499	 	 -0.287279	 	0.00365239
0.0895994	 	0.795014	 	0.625405	 	 -0.44602	 	0.00225087
0.0887034	 	0.876667	 	0.723291	 	 -0.326361	 	0.00760496
0.0878164	 	0.609851	 	0.512535	 	 -0.241238	 	0.00500435
0.0869382	 	0.762043	 	0.502908	 	 -0.306749	 	0.00676096
