#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         491     -3.9896    -3.89872  0.00746671
         492    -3.91365    -3.89875   0.0074516
         493    -3.90507    -3.89876   0.0074365
         494    -3.81216    -3.89858  0.00742351
         495    -3.85033    -3.89849  0.00740915
         496    -3.94388    -3.89858  0.00739478
         497    -3.90857     -3.8986  0.00737993
         498    -3.89935     -3.8986  0.00736511
         499    -3.87917    -3.89856  0.00735045
         500    -3.85921    -3.89848  0.00733617
         501    -3.90495    -3.89849  0.00732154
         502    -3.79216    -3.89828  0.00731002
         503    -3.83768    -3.89816  0.00729648
         504    -3.84039    -3.89805   0.0072829
         505    -3.80958    -3.89787  0.00727059
         506    -3.70575    -3.89749  0.00726613
         507    -3.72247    -3.89715  0.00725999
         508    -3.77206     -3.8969  0.00724987
         509    -3.86081    -3.89683  0.00723598
         510    -3.86543    -3.89677  0.00722205
         511    -3.80523    -3.89659  0.00721014
         512    -3.83177    -3.89646  0.00719717
         513    -3.78679    -3.89625  0.00718631
         514    -3.81055    -3.89608  0.00717427
         515    -3.78143    -3.89586  0.00716379
         516     -3.8091    -3.89569  0.00715188
         517    -3.78657    -3.89548  0.00714116
         518    -3.93502    -3.89556  0.00712778
         519    -3.79311    -3.89536  0.00711678
         520    -3.78477    -3.89515  0.00710627
         521    -3.78275    -3.89493   0.0070959
         522    -3.70796    -3.89457  0.00709134
         523    -3.76173    -3.89432  0.00708233
         524    -3.82015    -3.89418  0.00707023
         525    -3.75877    -3.89392  0.00706147
         526    -3.68893    -3.89353  0.00705879
         527    -3.66968     -3.8931  0.00705816
         528    -3.69776    -3.89273  0.00705449
         529    -3.68608    -3.89234  0.00705196
         530    -3.64687    -3.89188  0.00705384
         531    -3.63876     -3.8914  0.00705665
         532      -3.698    -3.89104  0.00705274
         533    -3.73678    -3.89075  0.00704545
         534    -3.76652    -3.89052  0.00703609
         535    -3.75246    -3.89026  0.00702767
         536    -3.82541    -3.89014   0.0070156
         537    -3.71498    -3.88981  0.00701012
         538    -3.69007    -3.88944  0.00700691
         539     -3.8183    -3.88931  0.00699516
         540    -3.83086     -3.8892  0.00698304
         541    -3.75512    -3.88895  0.00697453
         542    -3.75643    -3.88871  0.00696594
         543    -3.70698    -3.88837  0.00696115
         544    -3.74878    -3.88812  0.00695308
         545    -3.70795    -3.88779  0.00694818
         546     -3.7652    -3.88756  0.00693908
         547    -3.72904    -3.88727  0.00693244
         548    -3.72824    -3.88698  0.00692586
         549    -3.83076    -3.88688  0.00691401
         550    -3.72561    -3.88659  0.00690765
         551    -3.70589    -3.88626  0.00690289
         552    -3.74653    -3.88601  0.00689503
         553    -3.83345    -3.88591  0.00688321
         554    -3.79618    -3.88575  0.00687269
         555    -3.79672    -3.88559  0.00686218
         556    -3.77992     -3.8854  0.00685247
         557    -3.77294     -3.8852  0.00684314
         558    -3.71346    -3.88489   0.0068378
         559    -3.67311    -3.88451  0.00683605
         560    -3.73952    -3.88425  0.00682875
         561    -3.82884    -3.88415  0.00681729
         562    -3.86056    -3.88411  0.00680529
         563    -3.93254     -3.8842  0.00679374
         564    -3.86753    -3.88417  0.00678176
         565     -3.8327    -3.88408  0.00677037
         566    -3.81678    -3.88396  0.00675945
         567    -3.96094    -3.88409   0.0067489
         568    -3.93174    -3.88418  0.00673754
         569    -3.81716    -3.88406  0.00672672
         570    -3.74927    -3.88382  0.00671908
         571    -3.73261    -3.88356  0.00671253
         572    -3.73871     -3.8833  0.00670557
         573    -3.66025    -3.88292  0.00670515
         574    -3.70834    -3.88261  0.00670037
         575    -3.73006    -3.88235  0.00669396
         576    -3.71707    -3.88206  0.00668849
         577     -3.7935    -3.88191  0.00667866
         578    -3.81495    -3.88179  0.00666811
         579    -3.85055    -3.88174  0.00665681
         580    -3.78212    -3.88156  0.00664755
         581    -3.85937    -3.88153  0.00663622
         582    -3.85801    -3.88149  0.00662494
         583     -3.8283    -3.88139   0.0066142
         584    -3.87627    -3.88139  0.00660288
         585    -3.87794    -3.88138   0.0065916
         586     -3.7937    -3.88123  0.00658205
         587    -3.82868    -3.88114  0.00657144
         588    -3.80925    -3.88102   0.0065614
         589    -3.77579    -3.88084   0.0065527
         590    -3.85967     -3.8808  0.00654169
         591    -3.86386    -3.88077  0.00653068
         592     -3.8459    -3.88072  0.00651992
         593    -3.87267     -3.8807  0.00650893
         594    -3.83716    -3.88063  0.00649839
         595    -3.94288    -3.88073  0.00648831
         596    -3.90166    -3.88077  0.00647752
         597    -3.93173    -3.88085  0.00646723
         598    -3.95425    -3.88098  0.00645758
         599    -3.88874    -3.88099  0.00644681
         600    -3.86884    -3.88097   0.0064361
         601    -4.02536    -3.88121  0.00642987
         602    -4.01075    -3.88143  0.00642279
         603    -3.97698    -3.88158   0.0064141
         604    -3.94511    -3.88169  0.00640434
         605    -3.91969    -3.88175  0.00639406
         606    -3.88046    -3.88175  0.00638351
         607    -3.84894     -3.8817  0.00637322
         608    -3.82433     -3.8816  0.00636344
         609    -3.83652    -3.88153  0.00635342
         610    -3.76071    -3.88133  0.00634609
         611    -3.70576    -3.88104  0.00634221
         612    -3.75883    -3.88084  0.00633499
         613    -3.83251    -3.88076  0.00632514
