#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         442   0.0152778   0.0152778 9.52675e-11
         443   0.0152778   0.0152778 9.51599e-11
         444   0.0152778   0.0152778 9.56928e-11
         445   0.0152778   0.0152778 9.55852e-11
         446   0.0152778   0.0152778  9.5478e-11
         447   0.0152778   0.0152778 9.53711e-11
         448   0.0152778   0.0152778 9.58976e-11
         449   0.0152778   0.0152778 9.57908e-11
         450   0.0152778   0.0152778 9.56843e-11
         451   0.0152778   0.0152778 9.55782e-11
         452   0.0152778   0.0152778 9.60984e-11
         453   0.0152778   0.0152778 9.59923e-11
         454   0.0152778   0.0152778 9.61973e-11
         455   0.0152778   0.0152778 9.60916e-11
         456   0.0152778   0.0152778 9.66034e-11
         457   0.0152778   0.0152778 9.64977e-11
         458   0.0152778   0.0152778 9.63923e-11
         459   0.0152778   0.0152778 9.62872e-11
         460   0.0152778   0.0152778 9.67932e-11
         461   0.0152778   0.0152778 9.66881e-11
         462   0.0152778   0.0152778 9.65835e-11
         463   0.0152778   0.0152778 9.64791e-11
         464   0.0152778   0.0152778 9.69793e-11
         465   0.0152778   0.0152778  9.6875e-11
         466   0.0152778   0.0152778  9.6771e-11
         467   0.0152778   0.0152778 9.66673e-11
         468   0.0152778   0.0152778 9.71619e-11
         469   0.0152778   0.0152778 9.73555e-11
         470   0.0152778   0.0152778 9.72519e-11
         471   0.0152778   0.0152778 9.71486e-11
         472   0.0152778   0.0152778 9.76356e-11
         473   0.0152778   0.0152778 9.75323e-11
         474   0.0152778   0.0152778 9.74294e-11
         475   0.0152778   0.0152778 9.73268e-11
         476   0.0152778   0.0152778 9.72245e-11
         477   0.0152778   0.0152778 9.77059e-11
         478   0.0152778   0.0152778 9.76036e-11
         479   0.0152778   0.0152778 9.75017e-11
         480   0.0152778   0.0152778    9.74e-11
         481   0.0152778   0.0152778 9.78762e-11
         482   0.0152778   0.0152778 9.77746e-11
         483   0.0152778   0.0152778 9.76733e-11
         484   0.0152778   0.0152778 9.75724e-11
         485   0.0152778   0.0152778 9.74717e-11
         486   0.0152778   0.0152778 9.82268e-11
         487   0.0152778   0.0152778 9.81259e-11
         488   0.0152778   0.0152778 9.80253e-11
         489   0.0152778   0.0152778  9.7925e-11
         490   0.0152778   0.0152778 9.83889e-11
         491   0.0152778   0.0152778 9.82887e-11
         492   0.0152778   0.0152778 9.81887e-11
         493   0.0152778   0.0152778 9.80891e-11
         494   0.0152778   0.0152778 9.79898e-11
         495   0.0152778   0.0152778 9.84485e-11
         496   0.0152778   0.0152778 9.83492e-11
         497   0.0152778   0.0152778 9.82502e-11
         498   0.0152778   0.0152778 9.81515e-11
         499   0.0152778   0.0152778 9.80531e-11
         500   0.0152778   0.0152778 9.85069e-11
         501   0.0152778   0.0152778 9.84085e-11
         502   0.0152778   0.0152778 9.83105e-11
         503   0.0152778   0.0152778 9.84867e-11
         504   0.0152778   0.0152778 9.83889e-11
         505   0.0152778   0.0152778  9.8836e-11
         506   0.0152778   0.0152778 9.87383e-11
         507   0.0152778   0.0152778 9.86409e-11
         508   0.0152778   0.0152778 9.85437e-11
         509   0.0152778   0.0152778 9.84469e-11
         510   0.0152778   0.0152778 9.88892e-11
         511   0.0152778   0.0152778 9.87924e-11
         512   0.0152778   0.0152778 9.86959e-11
         513   0.0152778   0.0152778 9.85996e-11
         514   0.0152778   0.0152778 9.85037e-11
         515   0.0152778   0.0152778 9.86751e-11
         516   0.0152778   0.0152778 9.85794e-11
         517   0.0152778   0.0152778  9.8484e-11
         518   0.0152778   0.0152778 9.83889e-11
         519   0.0152778   0.0152778 9.82941e-11
         520   0.0152778   0.0152778 9.87289e-11
         521   0.0152778   0.0152778 9.86341e-11
         522   0.0152778   0.0152778 9.88027e-11
         523   0.0152778   0.0152778 9.87082e-11
         524   0.0152778   0.0152778  9.8614e-11
         525   0.0152778   0.0152778   9.852e-11
         526   0.0152778   0.0152778 9.89485e-11
         527   0.0152778   0.0152778 9.88545e-11
         528   0.0152778   0.0152778 9.87609e-11
         529   0.0152778   0.0152778 9.86675e-11
         530   0.0152778   0.0152778 9.85744e-11
         531   0.0152778   0.0152778 9.89985e-11
         532   0.0152778   0.0152778 9.89054e-11
         533   0.0152778   0.0152778 9.88126e-11
         534   0.0152778   0.0152778   9.872e-11
         535   0.0152778   0.0152778 9.86277e-11
         536   0.0152778   0.0152778 9.82787e-11
         537   0.0152778   0.0152778 9.86999e-11
         538   0.0152778   0.0152778 9.86081e-11
         539   0.0152778   0.0152778 9.85166e-11
         540   0.0152778   0.0152778 9.84253e-11
         541   0.0152778   0.0152778 9.85888e-11
         542   0.0152778   0.0152778 9.90042e-11
         543   0.0152778   0.0152778  9.8913e-11
         544   0.0152778   0.0152778  9.8822e-11
         545   0.0152778   0.0152778 9.87313e-11
         546   0.0152778   0.0152778 9.86409e-11
         547   0.0152778   0.0152778 9.85507e-11
         548   0.0152778   0.0152778 9.89618e-11
         549   0.0152778   0.0152778 9.88716e-11
         550   0.0152778   0.0152778 9.87817e-11
         551   0.0152778   0.0152778  9.8692e-11
         552   0.0152778   0.0152778 9.86026e-11
         553   0.0152778   0.0152778 9.85134e-11
         554   0.0152778   0.0152778 9.89203e-11
         555   0.0152778   0.0152778 9.88311e-11
         556   0.0152778   0.0152778 9.87422e-11
         557   0.0152778   0.0152778 9.86535e-11
         558   0.0152778   0.0152778 9.85651e-11
         559   0.0152778   0.0152778 9.84769e-11
         560   0.0152778   0.0152778 9.88796e-11
         561   0.0152778   0.0152778 9.87915e-11
         562   0.0152778   0.0152778 9.87035e-11
         563   0.0152778   0.0152778 9.88596e-11
         564   0.0152778   0.0152778 9.87719e-11
         565   0.0152778   0.0152778 9.86845e-11
         566   0.0152778   0.0152778 9.90818e-11
         567   0.0152778   0.0152778 9.89944e-11
         568   0.0152778   0.0152778 9.89072e-11
         569   0.0152778   0.0152778 9.88202e-11
         570   0.0152778   0.0152778 9.87335e-11
         571   0.0152778   0.0152778  9.8647e-11
         572   0.0152778   0.0152778 9.85608e-11
         573   0.0152778   0.0152778 9.89539e-11
         574   0.0152778   0.0152778 9.88677e-11
         575   0.0152778   0.0152778 9.87817e-11
         576   0.0152778   0.0152778 9.86959e-11
         577   0.0152778   0.0152778 9.86103e-11
         578   0.0152778   0.0152778  9.8525e-11
         579   0.0152778   0.0152778 9.89143e-11
         580   0.0152778   0.0152778  9.8829e-11
         581   0.0152778   0.0152778 9.87439e-11
         582   0.0152778   0.0152778  9.8659e-11
         583   0.0152778   0.0152778 9.85744e-11
         584   0.0152778   0.0152778 9.84899e-11
         585   0.0152778   0.0152778 9.84057e-11
         586   0.0152778   0.0152778 9.90249e-11
         587   0.0152778   0.0152778 9.89405e-11
         588   0.0152778   0.0152778 9.88563e-11
         589   0.0152778   0.0152778 9.87724e-11
         590   0.0152778   0.0152778 9.86886e-11
         591   0.0152778   0.0152778 9.86051e-11
         592   0.0152778   0.0152778 9.89854e-11
         593   0.0152778   0.0152778 9.89019e-11
         594   0.0152778   0.0152778 9.88186e-11
         595   0.0152778   0.0152778 9.87355e-11
         596   0.0152778   0.0152778 9.86527e-11
         597   0.0152778   0.0152778   9.857e-11
         598   0.0152778   0.0152778 9.84876e-11
         599   0.0152778   0.0152778 9.88641e-11
         600   0.0152778   0.0152778 9.87817e-11
         601   0.0152778   0.0152778 9.86995e-11
         602   0.0152778   0.0152778 9.86175e-11
         603   0.0152778   0.0152778 9.85356e-11
         604   0.0152778   0.0152778  9.8454e-11
